name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Azad Hind Dhaba,4.0,"Satya Narayanan Apartment,",Salt Lake,800 for 2 (approx),North Indian,Chinese,Mughlai
Azad Hind Dhaba,3.6,Bhawanipur,South Kolkata,800 for 2 (approx),North Indian,Chinese,Mughlai
Club Barocks,3.8,"Godrej Waterside,",Salt Lake,"1,400 for 2 (approx)",Finger Food,North Indian,Chinese
Hing,3.5,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,Seafood
Shimla Biryani,4.1,E M Bypass,South Kolkata,600 for 2 (approx),North Indian,Chinese,Beverages
Karma Kettle,3.8,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Continental,Finger Food,Italian
K-19,3.8,"The Claridale,",Ballygunge,"2,500 for 2 (approx)",North Indian,Italian,Asian
Serenity Cafe De' Bistro,4.0,Ballygunge,South Kolkata,"1,100 for 2 (approx)",Continental,Italian,Chinese
Hotel Swagath,4.0,Hazra,South Kolkata,600 for 2 (approx),South Indian,North Indian,Fast Food
BJs Sports Lounge,4.2,Sarat Bose Road,South Kolkata,"1,000 for 2 (approx)",Italian,Continental,Chinese
Shillong Point,4.0,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Chinese,Tibetan,Asian
Denzong Kitchen,3.9,Hazra,South Kolkata,600 for 2 (approx),Chinese,Asian,Tibetan
CLUB AERIES,4.4,Kalighat,South Kolkata,"1,500 for 2 (approx)",North Indian,Fast Food,Beverages
Zahtar,3.8,"The Maureen,",Baguiati,"1,400 for 2 (approx)",Chinese,North Indian,Continental
