name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
The Other Room by Trincas,4.1,Park Street,Central Kolkata,900 for 2 (approx),Chinese,Continental,Asian
Someplace Else,4,"The Park Hotel,",Park Street,"3,000 for 2 (approx)",Finger Food,,
Moti Mahal Delux,4.4,"Park Center Building,",Park Street,"1,500 for 2 (approx)",Chinese,North Indian,Mughlai
The French Loaf,,"Downtown Mall,",Salt Lake,400 for 2 (approx),Desserts,Fast Food,
Wow! Momo,,Esplanade,Central Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Baskin Robbins,,Shakespeare Sarani,Central Kolkata,300 for 2 (approx),Desserts,,
Aatithya,4,Lake Town,East Kolkata,600 for 2 (approx),Chinese,Seafood,Bengali
Effingut,4.3,Park Street,Central Kolkata,"2,400 for 2 (approx)",Continental,North Indian,Biryani
Trapeze,4.2,Park Street,Central Kolkata,"2,200 for 2 (approx)",North Indian,Asian,Finger Food
GOLD,3.9,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"1,800 for 2 (approx)",Finger Food,,
WTF! - Where's The Food,,Salt Lake,East Kolkata,400 for 2 (approx),Chinese,,
Tavern behind Trincas,4,Park Street,Central Kolkata,"1,100 for 2 (approx)",North Indian,Chinese,Continental
Hammer,4.3,Park Street,Central Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Mexican
